"","(Intercept)"
"SCT_0001",-0.136285532374778
"SCT_0002",-0.149444887762294
"SCT_0003",-0.053477247776913
"SCT_0004",-0.0387834826265064
"SCT_0005",1.13568741527491
"SCT_0006",0.490287344170959
"SCT_0007",1.20945454172069
"SCT_0008",0.743841716477349
"SCT_0009",1.07015513917817
"SCT_0010",0.943388388458986
"SCT_0011",0.598630790401772
"SCT_0012",0.813007652223548
"SCT_0013",1.05308062573211
"SCT_0014",0.112595985821816
"SCT_0015",1.09445903547936
"SCT_0016",0.153186675250777
"SCT_0017",0.435006247312573
"SCT_0018",0.840880820272159
"SCT_0019",-0.4980571638611
"SCT_0020",-0.0414073552183039
"SCT_0021",-0.506873769113455
"SCT_0022",-0.145664433485046
"SCT_0023",-0.354795158536705
"SCT_0024",-0.23149328933226
"SCT_0025",-0.192625497826707
"SCT_0026",-0.227862276541412
"SCT_0027",-0.186552172483406
"SCT_0028",0.39315962629371
"SCT_0029",0.164338079993961
"SCT_0030",0.427566878662438
"SCT_0031",-0.0735184714907239
"SCT_0032",-0.622732940345847
"SCT_0033",0.147424553542159
"SCT_0034",-0.183397225035533
"SCT_0035",-0.0823633448662602
"SCT_0036",-0.145531244119213
"SCT_0037",-0.366256384851793
"SCT_0038",-0.495083364773905
"SCT_0039",-0.617918743615164
"SCT_0040",0.298409308893248
"SCT_0041",-0.279308443685193
"SCT_0042",-0.0967884386497317
"SCT_0043",0.701350290281977
"SCT_0044",-0.314568541118146
"SCT_0045",0.0584213130114323
"SCT_0046",0.290098813055129
"SCT_0047",-0.275764073087949
"SCT_0048",0.0267594909910552
"SCT_0049",-0.173083108018949
"SCT_0050",-0.629521434948221
"SCT_0051",-0.122528704039126
"SCT_0052",-0.195360614578589
"SCT_0053",-0.318687262536134
"SCT_0054",-0.11042113832783
"SCT_0055",-0.155935846922824
"SCT_0056",0.105711274046046
"SCT_0057",-0.0600684543930011
"SCT_0058",0.132858388626022
"SCT_0059",-0.232888141674361
"SCT_0060",-0.0219681107051147
"SCT_0061",-0.33606484882653
"SCT_0062",0.0733583328051385
"SCT_0063",-0.321016732417146
"SCT_0064",0.14522893945541
"SCT_0065",-0.575456013960094
"SCT_0066",-0.019698596667429
"SCT_0067",-0.284714980345052
"SCT_0068",0.379130350355139
"SCT_0069",0.120279189630462
"SCT_0070",-0.149849215501273
"SCT_0071",-0.0248877978303158
"SCT_0072",-0.136231420412782
"SCT_0073",-0.0821229762187734
"SCT_0074",-0.237421846236668
"SCT_0075",0.105035733740147
"SCT_0076",-0.0149752901491874
"SCT_0077",-0.169099335185349
"SCT_0078",-0.16833367256778
"SCT_0079",-0.0533360819426469
"SCT_0080",-0.228511925455297
"SCT_0081",-0.306976871452715
"SCT_0082",-0.290431525265555
"SCT_0083",0.0949660304452419
"SCT_0084",-0.00110882341805925
"SCT_0085",-0.0259945871175193
"SCT_0086",0.355391882642922
"SCT_0087",-0.417899241614454
"SCT_0088",-0.140882991975896
"SCT_0089",-0.0130583085154593
"SCT_0090",0.128919564453292
"SCT_0091",-0.313067063001669
"SCT_0092",-0.244276218562837
"SCT_0093",-0.170309317970428
"SCT_0094",0.00286384021605104
"SCT_0095",0.276741057042415
"SCT_0096",0.3313483146991
"SCT_0097",-0.250780082025073
"SCT_0098",-0.535468950446418
"SCT_0099",0.321843274741258
"SCT_0100",0.195120050958207
"SCT_0101",0.162063123851492
"SCT_0102",-0.224121628003956
"SCT_0103",0.0695054399636435
"SCT_0104",-0.0494270669491357
"SCT_0105",0.132835620062943
"SCT_0106",-0.190659363112192
"SCT_0107",-0.0883729514466445
"SCT_0108",-0.103599177641555
"SCT_0109",-0.0640690295112711
"SCT_0110",0.167761267975971
"SCT_0111",0.393320839638662
"SCT_0112",-0.0733457854709201
"SCT_0113",-0.372884676155284
"SCT_0114",-0.165947540167093
"SCT_0115",-0.00853459670835919
"SCT_0116",-0.164389930463897
"SCT_0117",-0.490251654896183
"SCT_0118",-0.539411206533907
"SCT_0119",0.0823838854073656
"SCT_0120",-0.119674355276441
"SCT_0121",0.471599082675658
"SCT_0122",-0.65951720991177
"SCT_0123",-0.636384089023278
"SCT_0124",0.165342798324324
"SCT_0125",-0.0812125595089346
"SCT_0126",0.0751108631211436
"SCT_0127",0.304281811742661
"SCT_0128",0.422244832005061
"SCT_0129",-0.552600071916937
"SCT_0130",-0.101968401796834
"SCT_0131",0.0897420235378778
"SCT_0132",1.12687211925233
"SCT_0133",-0.591620260403862
"SCT_0134",0.215772587774152
"SCT_0135",0.139113685687331
"SCT_0136",-0.0299114660845002
"SCT_0137",-0.257055239908332
"SCT_0138",-0.057903507531929
"SCT_0139",0.382985140891691
"SCT_0140",-0.0889780859474375
"SCT_0141",-0.749790475172321
"SCT_0142",0.0198446325511804
"SCT_0478",-0.0801453674797231
